9e015b74-00e3-470f-9c1c-308ce51e6d97,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,Shop All Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,12L Timeless Backpack - Pink,https://www.kmart.com.au/product/12l-timeless-backpack---pink/2656330,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/9/42782629-1-sz.jpg,18.00											WAS 20,18.00											,4.9 ,10 ,;,
e68bb750-d1a2-4b36-8836-359d6d3e0419,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,Shop All Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,5 Pack Tortoise Pin Clips,https://www.kmart.com.au/product/5-pack-tortoise-pin-clips/2739881,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/0/42832430-1-sz.jpg,2.00											WAS 4,2.00											,5.0 ,1 ,;,
bf559a62-04f9-49ce-be56-3e4929e1ca07,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,Shop All Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,2 Pack Rectangular Tortoise Snap Clips - Green,https://www.kmart.com.au/product/2-pack-rectangular-tortoise-snap-clips---green/2739882,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/7/42832447-1-sz.jpg,2.00											WAS 4,2.00											,5.0 ,3 ,;,
555e821b-05a3-442c-a12a-3ff3305e9ac9,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,Shop All Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,2 Pack Stud and Drop Earrings - Green,https://www.kmart.com.au/product/2-pack-stud-and-drop-earrings---green/2855480,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/2/42868842-1-sz.jpg,2.00											WAS 4,2.00											,Not Rated,0,;,
408e5127-19b7-4e07-a774-fe568ef78251,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,Shop All Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,2 Pack Stud and Drop Earrings - Peach,https://www.kmart.com.au/product/2-pack-stud-and-drop-earrings---peach/2855481,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/9/42868859-1-sz.jpg,2.00											WAS 4,2.00											,5.0 ,2 ,;,
6fae901e-4121-4a98-92d6-81e37dfa2d1b,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,Shop All Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,2 Pack School Tights,https://www.kmart.com.au/product/2-pack-school-tights/2888350,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/2/69745102-1-sz.jpg,4.00											WAS 8,4.00											,Not Rated,0,;,
028259b5-8b07-4a09-9b09-24f4f7c16c39,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,Shop All Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,Mid Western Heel Boots,https://www.kmart.com.au/product/mid-western-heel-boots/2888369,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/5/69850905-1-sz.jpg,15.00											WAS 30,15.00											,Not Rated,0,;,
b96ac9a6-8df9-46ec-b6d3-3aa6836c9a0a,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,Shop All Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,Zip Short Boots,https://www.kmart.com.au/product/zip-short-boots/2914837,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/7/69901157-1-sz.jpg,20.00											WAS 35,20.00											,Not Rated,0,;,
4c3b2fca-942c-4a63-873e-def5e92bd77b,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,Shop All Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,2 Pack Rectangle Tortoise Shell Hair Clips,https://www.kmart.com.au/product/2-pack-rectangle-tortoise-shell-hair-clips/2917350,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/8/42869368-1-sz.jpg,2.00											WAS 4,2.00											,5.0 ,1 ,;,
deb99447-5a89-4655-9969-567abc8ce937,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,Shop All Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,2 Pack Rectangular Tortoise Shell Snap Clips - Purple,https://www.kmart.com.au/product/2-pack-rectangular-tortoise-shell-snap-clips---purple/2917355,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/9/42869399-1-sz.jpg,2.00											WAS 4,2.00											,5.0 ,1 ,;,
4e2da10f-82bd-40a1-9d75-669a0e53c087,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,Shop All Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,2 Pack Tortoise Shell Rectangular Hair Clips,https://www.kmart.com.au/product/2-pack-tortoise-shell-rectangular-hair-clips/2930307,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/5/42869405-1-sz.jpg,2.00											WAS 4,2.00											,Not Rated,0,;,
9f7819a4-dac6-4e12-bdc4-031dae80ebce,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,Shop All Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,Lightweight Hooded jacket,https://www.kmart.com.au/product/lightweight-hooded-jacket/2958802,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/7/69893667-1-sz.jpg,20.00,-,5.0 ,1 ,;,
f6d8a9da-c3dd-46bf-9ac2-3bc5d23a254d,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,Shop All Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,2 Pack Bow Scrunchies - Animal Print,https://www.kmart.com.au/product/2-pack-bow-scrunchies---animal-print/2457405,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/7/42761167-1-sz.jpg,3.00											WAS 5,3.00											,5.0 ,2 ,;,
0ce033cb-9fdd-4162-aee1-f0e4af33bc89,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,Shop All Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,2 Pack Bunny Ear Scrunchies - Rust & Burgundy,https://www.kmart.com.au/product/2-pack-bunny-ear-scrunchies---rust--burgundy/2457836,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/9/42761099-1-sz.jpg,3.00											WAS 5,3.00											,5.0 ,1 ,;,
7a03f9bd-6841-47e0-b25a-1c6e7148f477,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,Shop All Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,Scrunchie Scarf,https://www.kmart.com.au/product/scrunchie-scarf/2497302,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/0/42761280-1-sz.jpg,3.00											WAS 5,3.00											,4.0 ,2 ,;,
b82d0f55-4953-4623-a5c0-cb41ceb36c6f,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,Shop All Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,Side Button Linen Blend Maxi Skirt,https://www.kmart.com.au/product/side-button-linen-blend-maxi-skirt/2720362,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/5/69261145-1-sz.jpg,12.00,-,4.8 ,105 ,;,
a28c2f7f-1599-47b0-989c-fc844b18475a,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,Shop All Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,Junior Sneakers,https://www.kmart.com.au/product/junior-sneakers/2848378,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/8/69755408-1-sz.jpg,15.00 - 20.00,-,Not Rated,0,;,
dddd600d-68f2-4d31-be8e-c156e586833e,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,Shop All Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,Senior Animal Print Zipper Boots,https://www.kmart.com.au/product/senior-animal-print-zipper-boots/2888355,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/9/69789939-1-sz.jpg,15.00											WAS 25,15.00											,Not Rated,0,;,
986314d8-f65a-43ad-84fe-c4fe8dcc4501,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,Shop All Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,Senior High Boots,https://www.kmart.com.au/product/senior-high-boots/2895836,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/9/69718359-1-sz.jpg,18.00											WAS 29,18.00											,Not Rated,0,;,
103a1a86-846d-4e55-9671-08d2655aae02,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,Shop All Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/shop-all-clearance/512374#.plp-wrapper#.plp-wrapper,Lightweight Puffer Jacket,https://www.kmart.com.au/product/lightweight-puffer-jacket/2901816,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/9/69872099-1-sz.jpg,12.00											WAS 20,12.00											,Not Rated,0,;,
