0febe335-871e-4333-b230-6892eee0c962,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Disney Pixar Toy Story 4 Woody Talking Action Figure,https://www.kmart.com.au/product/disney-pixar-toy-story-4-woody-talking-action-figure/1058829,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/0/42409250-1-sz.jpg,24.00											WAS 30,24.00											,Not Rated,0,;,
4db86c18-f96b-44a2-aba6-6690a928668d,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Disney Pixar Toy Story 4 Talking Buzz Lightyear Action Figure,https://www.kmart.com.au/product/disney-pixar-toy-story-4-talking-buzz-lightyear-action-figure/1079813,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/3/42409243-1-sz.jpg,24.00											WAS 30,24.00											,Not Rated,0,;,
5d64f3ed-3790-4b3e-9cee-d4e0f154738f,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Terra Dinosaur Toy - Assorted,https://www.kmart.com.au/product/terra-dinosaur-toy---assorted/3002303,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/0/42855620-1-sz.jpg,5.00						 ea					WAS 9,5.00						 ea					,Not Rated,0,;,
c116776f-6faa-4f05-baba-6c749689be99,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Terra Dinosaur Light and Sound Toy - Assorted,https://www.kmart.com.au/product/terra-dinosaur-light-and-sound-toy---assorted/3002304,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/7/42855637-1-sz.jpg,5.00						 ea					WAS 9,5.00						 ea					,Not Rated,0,;,
8acb1216-819e-4b59-bbb8-1038b0386762,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Dreamworks Trolls 2 Tiny Dancer Friend Pack,https://www.kmart.com.au/product/dreamworks-trolls-2-tiny-dancer-friend-pack/2886925,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/7/42871897-1-sz.jpg,7.00											WAS 13,7.00											,Not Rated,0,;,
58627bfa-3976-4c76-9c84-721f2578efa7,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Wooden Utility Vehicle With Dog,https://www.kmart.com.au/product/wooden-utility-vehicle-with-dog/2912308,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/5/42851165-1-sz.jpg,7.00											WAS 8.50,7.00											,Not Rated,0,;,
a173ce09-4d07-48df-a14e-0fdfdf23304c,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Barbie Soccer Player Playset,https://www.kmart.com.au/product/barbie-soccer-player-playset/2886940,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/7/42875987-1-sz.jpg,20.00											WAS 25,20.00											,Not Rated,0,;Out of stock online,
b18a9449-82a4-41bb-b5c4-ca3f07821731,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Shakeheadz Crazy Pets Series Toy - Assorted,https://www.kmart.com.au/product/shakeheadz-crazy-pets-series-toy---assorted/2946316,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/9/42858379-1-sz.jpg,3.00						 ea					WAS 5,3.00						 ea					,Not Rated,0,;,
9d3d792f-41db-4152-b3b6-b9d7bf2fd71b,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Terra Light And Sound Dino Toy - Assorted,https://www.kmart.com.au/product/terra-light-and-sound-dino-toy---assorted/2933312,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/4/42855644-1-sz.jpg,12.00						 ea					WAS 19,12.00						 ea					,Not Rated,0,;Out of stock online,
4f43c9d4-4768-4fa3-9976-93c2e3a42110,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,6 Pack Disney Ooshies XL Series 1 Figures - Assorted,https://www.kmart.com.au/product/6-pack-disney-ooshies-xl-series-1-figures---assorted/2926816,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/0/42844990-1-sz.jpg,10.00						 ea					WAS 15,10.00						 ea					,Not Rated,0,;Out of stock online,
17980669-c450-40f4-946b-00ac328c12e2,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Jurassic World Jurassic Pull Back Car - Assorted,https://www.kmart.com.au/product/jurassic-world-jurassic-pull-back-car---assorted/2926315,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/9/42855699-1-sz.jpg,3.00,-,Not Rated,0,;,
f91fd3c4-48b7-402a-9083-02906b005f64,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,3 Pack Dreamworks Trolls World Tour Purse Set,https://www.kmart.com.au/product/3-pack-dreamworks-trolls-world-tour-purse-set/2904806,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/0/42872450-1-sz.jpg,6.00											WAS 9,6.00											,Not Rated,0,;,
7b8f8291-4298-426b-9996-82df260c0740,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Minecraft Mini Figure - Assorted,https://www.kmart.com.au/product/minecraft-mini-figure---assorted/2915819,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/6/42859956-1-sz.jpg,3.00						 ea					WAS 5,3.00						 ea					,Not Rated,0,;,
c833fa29-c169-4315-bb08-ec9e53ffbe9c,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Shakeheadz Slob Monsters Unleash the Crazy! Power Drink Toy,https://www.kmart.com.au/product/shakeheadz-slob-monsters-unleash-the-crazy!-power-drink-toy/2907823,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/5/42858355-1-sz.jpg,3.00											WAS 5,3.00											,Not Rated,0,;,
563e8f5a-b313-4be3-99be-fac93a6bf61b,Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Toys Clearance,https://www.kmart.com.au/category/clearance/clearance-by-category/toys-clearance/512074#.plp-wrapper#.plp-wrapper,Wooden Fruit Pie,https://www.kmart.com.au/product/wooden-fruit-pie/2814810,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/5/42839095-1-sz.jpg,4.00											WAS 6,4.00											,Not Rated,0,;,
