16e481c1-1c22-4271-bb49-82b963bbfcaf,Home & Living,https://www.kmart.com.au/category/home-&-living/party-cards-&-wrap/cards-wrap-gift-bags-&-boxes/464503#.plp-wrapper,Cards Wrap Gift Bags & Boxes,https://www.kmart.com.au/category/home-&-living/party-cards-&-wrap/cards-wrap-gift-bags-&-boxes/464503#.plp-wrapper,Hallmark Father's Day Card - Roarsome,https://www.kmart.com.au/product/hallmark-fathers-day-card---roarsome/3161808,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/3/42938583-1-sz.jpg,4.00,-,Not Rated,0,Just Landed ; ,
317330b6-e5cf-4eea-958d-70178aea9631,Home & Living,https://www.kmart.com.au/category/home-&-living/party-cards-&-wrap/cards-wrap-gift-bags-&-boxes/464503#.plp-wrapper,Cards Wrap Gift Bags & Boxes,https://www.kmart.com.au/category/home-&-living/party-cards-&-wrap/cards-wrap-gift-bags-&-boxes/464503#.plp-wrapper,Hallmark Father's Day card - Dad's Day,https://www.kmart.com.au/product/hallmark-fathers-day-card---dads-day/3161809,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/6/42938446-1-sz.jpg,2.00,-,Not Rated,0,Just Landed ; ,
50cb0f8e-b77d-4774-ba6b-2ace8a103254,Home & Living,https://www.kmart.com.au/category/home-&-living/party-cards-&-wrap/cards-wrap-gift-bags-&-boxes/464503#.plp-wrapper,Cards Wrap Gift Bags & Boxes,https://www.kmart.com.au/category/home-&-living/party-cards-&-wrap/cards-wrap-gift-bags-&-boxes/464503#.plp-wrapper,Hallmark Father's Day Card - Favourites,https://www.kmart.com.au/product/hallmark-fathers-day-card---favourites/3161810,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/5/42938705-1-sz.jpg,4.00,-,Not Rated,0,Just Landed ; ,
5c989dd9-8d87-4e1d-a309-c9173a0952ca,Home & Living,https://www.kmart.com.au/category/home-&-living/party-cards-&-wrap/cards-wrap-gift-bags-&-boxes/464503#.plp-wrapper,Cards Wrap Gift Bags & Boxes,https://www.kmart.com.au/category/home-&-living/party-cards-&-wrap/cards-wrap-gift-bags-&-boxes/464503#.plp-wrapper,Hallmark Father's Day Card - Navy Icons,https://www.kmart.com.au/product/hallmark-fathers-day-card---navy-icons/3161811,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/3/42938613-1-sz.jpg,4.00,-,Not Rated,0,Just Landed ; ,
3b365d16-002a-417f-91e6-6e68ee04dc02,Home & Living,https://www.kmart.com.au/category/home-&-living/party-cards-&-wrap/cards-wrap-gift-bags-&-boxes/464503#.plp-wrapper,Cards Wrap Gift Bags & Boxes,https://www.kmart.com.au/category/home-&-living/party-cards-&-wrap/cards-wrap-gift-bags-&-boxes/464503#.plp-wrapper,Hallmark Father's Day Card for Daddy - Giraffes,https://www.kmart.com.au/product/hallmark-fathers-day-card-for-daddy---giraffes/3161812,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/2/42938712-1-sz.jpg,4.00,-,Not Rated,0,Just Landed ; ,
10e8d3b7-185c-4862-b17e-5ab42e6a1f51,Home & Living,https://www.kmart.com.au/category/home-&-living/party-cards-&-wrap/cards-wrap-gift-bags-&-boxes/464503#.plp-wrapper,Cards Wrap Gift Bags & Boxes,https://www.kmart.com.au/category/home-&-living/party-cards-&-wrap/cards-wrap-gift-bags-&-boxes/464503#.plp-wrapper,Hallmark Father's Day Card - Life Lessons,https://www.kmart.com.au/product/hallmark-fathers-day-card---life-lessons/3161813,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/9/42938729-1-sz.jpg,4.00,-,Not Rated,0,Just Landed ; ,
8abffeec-d44f-45ec-99a2-0488cecc59e4,Home & Living,https://www.kmart.com.au/category/home-&-living/party-cards-&-wrap/cards-wrap-gift-bags-&-boxes/464503#.plp-wrapper,Cards Wrap Gift Bags & Boxes,https://www.kmart.com.au/category/home-&-living/party-cards-&-wrap/cards-wrap-gift-bags-&-boxes/464503#.plp-wrapper,Hallmark Father's Day Card - Snappy Croc,https://www.kmart.com.au/product/hallmark-fathers-day-card---snappy-croc/3161814,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/0/42938460-1-sz.jpg,2.00,-,Not Rated,0,Just Landed ; ,
dbb25392-ab44-450d-9ea1-03df070a0ba4,Home & Living,https://www.kmart.com.au/category/home-&-living/party-cards-&-wrap/cards-wrap-gift-bags-&-boxes/464503#.plp-wrapper,Cards Wrap Gift Bags & Boxes,https://www.kmart.com.au/category/home-&-living/party-cards-&-wrap/cards-wrap-gift-bags-&-boxes/464503#.plp-wrapper,Hallmark Father's Day Card - Koala Dad,https://www.kmart.com.au/product/hallmark-fathers-day-card---koala-dad/3161815,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/7/42938477-1-sz.jpg,2.00,-,Not Rated,0,Just Landed ; ,
5839347b-6453-4746-9541-ccccfabb6619,Home & Living,https://www.kmart.com.au/category/home-&-living/party-cards-&-wrap/cards-wrap-gift-bags-&-boxes/464503#.plp-wrapper,Cards Wrap Gift Bags & Boxes,https://www.kmart.com.au/category/home-&-living/party-cards-&-wrap/cards-wrap-gift-bags-&-boxes/464503#.plp-wrapper,Hallmark Father's Day Card - Dad. Hero. Legend,https://www.kmart.com.au/product/hallmark-fathers-day-card---dad.-hero.-legend/3161816,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/4/42938514-1-sz.jpg,4.00,-,Not Rated,0,Just Landed ; ,
7838743d-412d-49a7-9172-a0bf817bb649,Home & Living,https://www.kmart.com.au/category/home-&-living/party-cards-&-wrap/cards-wrap-gift-bags-&-boxes/464503#.plp-wrapper,Cards Wrap Gift Bags & Boxes,https://www.kmart.com.au/category/home-&-living/party-cards-&-wrap/cards-wrap-gift-bags-&-boxes/464503#.plp-wrapper,Hallmark Father's Day Card - Love You,https://www.kmart.com.au/product/hallmark-fathers-day-card---love-you/3161817,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/8/42938538-1-sz.jpg,4.00,-,Not Rated,0,Just Landed ; ,
