56cf7840-8d61-4e10-8afe-7435eeeb6f66,Home & Living,https://www.kmart.com.au/category/home-&-living/home-by-room/kitchen/252132#.plp-wrapper,Kitchen,https://www.kmart.com.au/category/home-&-living/home-by-room/kitchen/252132#.plp-wrapper,Instant Hot Water Dispenser,https://www.kmart.com.au/product/instant-hot-water-dispenser/3139334,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/3/42894773-1-sz.jpg,69.00,-,Not Rated,0,;Back online soon,
49d96f2c-2366-48b1-913b-14de81b422da,Home & Living,https://www.kmart.com.au/category/home-&-living/home-by-room/kitchen/252132#.plp-wrapper,Kitchen,https://www.kmart.com.au/category/home-&-living/home-by-room/kitchen/252132#.plp-wrapper,Pie Maker,https://www.kmart.com.au/product/pie-maker/912041,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/5/42381945-1-sz.jpg,29.00,-,Not Rated,0,;,
869d9331-0a49-4a34-9d05-0d114e6790f7,Home & Living,https://www.kmart.com.au/category/home-&-living/home-by-room/kitchen/252132#.plp-wrapper,Kitchen,https://www.kmart.com.au/category/home-&-living/home-by-room/kitchen/252132#.plp-wrapper,Sausage Roll Maker,https://www.kmart.com.au/product/sausage-roll-maker/3000321,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/2/42888222-1-sz.jpg,29.00,-,Not Rated,0,;,
3629b5f5-1364-4cee-8cd0-11a02343878f,Home & Living,https://www.kmart.com.au/category/home-&-living/home-by-room/kitchen/252132#.plp-wrapper,Kitchen,https://www.kmart.com.au/category/home-&-living/home-by-room/kitchen/252132#.plp-wrapper,Pie Maker,https://www.kmart.com.au/product/pie-maker/3117813,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/4/42888604-1-sz.jpg,39.00,-,Not Rated,0,;Back online soon,
d9545869-eeaf-4ca9-ac49-8a28a5ebda1c,Home & Living,https://www.kmart.com.au/category/home-&-living/home-by-room/kitchen/252132#.plp-wrapper,Kitchen,https://www.kmart.com.au/category/home-&-living/home-by-room/kitchen/252132#.plp-wrapper,Portable USB Blender,https://www.kmart.com.au/product/portable-usb-blender/3146310,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/8/42902508-1-sz.jpg,19.00,-,Not Rated,0,Just Landed ; ,
c374dcbf-ca05-43a3-b41c-060e789ee33a,Home & Living,https://www.kmart.com.au/category/home-&-living/home-by-room/kitchen/252132#.plp-wrapper,Kitchen,https://www.kmart.com.au/category/home-&-living/home-by-room/kitchen/252132#.plp-wrapper,Box Grater - Large,https://www.kmart.com.au/product/box-grater---large/123084,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/1/41527481-1-sz.jpg,7.00,-,Not Rated,0,;,
6616a0cc-92ff-464b-ba67-8cadfa535edc,Home & Living,https://www.kmart.com.au/category/home-&-living/home-by-room/kitchen/252132#.plp-wrapper,Kitchen,https://www.kmart.com.au/category/home-&-living/home-by-room/kitchen/252132#.plp-wrapper,3 Mixing Bowls,https://www.kmart.com.au/product/3-mixing-bowls/123978,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/1/41525531-1-sz.jpg,12.00,-,Not Rated,0,;Back online soon,
c9c5a232-d6d5-46ec-832a-974e3acb960d,Home & Living,https://www.kmart.com.au/category/home-&-living/home-by-room/kitchen/252132#.plp-wrapper,Kitchen,https://www.kmart.com.au/category/home-&-living/home-by-room/kitchen/252132#.plp-wrapper,Deep Fryer with Timer,https://www.kmart.com.au/product/deep-fryer-with-timer/871801,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/6/42336426-1-sz.jpg,29.00,-,Not Rated,0,;,
53748434-aa68-4e95-8e6e-efad82fb5ceb,Home & Living,https://www.kmart.com.au/category/home-&-living/home-by-room/kitchen/252132#.plp-wrapper,Kitchen,https://www.kmart.com.au/category/home-&-living/home-by-room/kitchen/252132#.plp-wrapper,Stainless Steel Blender,https://www.kmart.com.au/product/stainless-steel-blender/1635978,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/9/42523659-1-sz.jpg,29.00,-,Not Rated,0,;Out of stock online,
97509158-ad0b-4f3b-a0ad-5828a1f87938,Home & Living,https://www.kmart.com.au/category/home-&-living/home-by-room/kitchen/252132#.plp-wrapper,Kitchen,https://www.kmart.com.au/category/home-&-living/home-by-room/kitchen/252132#.plp-wrapper,32cm Aluminium 4 Layer Non-Stick Frypan - Wood Look,https://www.kmart.com.au/product/32cm-aluminium-4-layer-non-stick-frypan---wood-look/1897861,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/9/42567059-1-sz.jpg,20.00,-,Not Rated,0,;,
