b658b47f-2aca-48cc-9bee-dba718a7421f,Men,https://www.kmart.com.au/category/men/mens-clothing/mens-activewear/413030#.plp-wrapper,Mens Activewear,https://www.kmart.com.au/category/men/mens-clothing/mens-activewear/413030#.plp-wrapper,Active Mens Gym Shorts,https://www.kmart.com.au/product/active-mens-gym-shorts/3160319,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/1/70120981-1-sz.jpg,10.00,-,Not Rated,0,;,
b57ff94c-1a40-4059-b1ca-c954b97aa032,Men,https://www.kmart.com.au/category/men/mens-clothing/mens-activewear/413030#.plp-wrapper,Mens Activewear,https://www.kmart.com.au/category/men/mens-clothing/mens-activewear/413030#.plp-wrapper,Active Mens Printed Tee,https://www.kmart.com.au/product/active-mens-printed-tee/3158806,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/9/70147759-1-sz.jpg,8.00,-,Not Rated,0,;,
f8ab7b0a-d7c5-4be2-80b7-52229ed65bc0,Men,https://www.kmart.com.au/category/men/mens-clothing/mens-activewear/413030#.plp-wrapper,Mens Activewear,https://www.kmart.com.au/category/men/mens-clothing/mens-activewear/413030#.plp-wrapper,Active Everlast Mens Fitness Muscle Tee,https://www.kmart.com.au/product/active-everlast-mens-fitness-muscle-tee/3162816,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/8/70158748-1-sz.jpg,12.00,-,Not Rated,0,;,
baaff1b6-b174-4199-83be-6058f72fc6d0,Men,https://www.kmart.com.au/category/men/mens-clothing/mens-activewear/413030#.plp-wrapper,Mens Activewear,https://www.kmart.com.au/category/men/mens-clothing/mens-activewear/413030#.plp-wrapper,Active Everlast Mens Fitness Tee,https://www.kmart.com.au/product/active-everlast-mens-fitness-tee/3162817,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/4/70159004-1-sz.jpg,12.00,-,Not Rated,0,;Out of stock online,
c5195a7c-80d7-4c81-a891-f29c869bbd44,Men,https://www.kmart.com.au/category/men/mens-clothing/mens-activewear/413030#.plp-wrapper,Mens Activewear,https://www.kmart.com.au/category/men/mens-clothing/mens-activewear/413030#.plp-wrapper,Active NBL Mens Knit Shorts,https://www.kmart.com.au/product/active-nbl-mens-knit-shorts/3163311,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/2/70167122-1-sz.jpg,15.00,-,Not Rated,0,;,
082907b9-6cec-4bcf-9091-d7636b63bbae,Men,https://www.kmart.com.au/category/men/mens-clothing/mens-activewear/413030#.plp-wrapper,Mens Activewear,https://www.kmart.com.au/category/men/mens-clothing/mens-activewear/413030#.plp-wrapper,Active Mens Knit Stretch Shorts,https://www.kmart.com.au/product/active-mens-knit-stretch-shorts/3165809,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/5/70056785-1-sz.jpg,10.00,-,Not Rated,0,;,
f4c59818-3556-485f-b0b8-306931c49a4e,Men,https://www.kmart.com.au/category/men/mens-clothing/mens-activewear/413030#.plp-wrapper,Mens Activewear,https://www.kmart.com.au/category/men/mens-clothing/mens-activewear/413030#.plp-wrapper,Active Mens V Neck Tee,https://www.kmart.com.au/product/active-mens-v-neck-tee/3158302,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/4/70144604-1-sz.jpg,6.00,-,Not Rated,0,;,
793875bd-e08f-4224-8ff2-5fdca77c4ace,Men,https://www.kmart.com.au/category/men/mens-clothing/mens-activewear/413030#.plp-wrapper,Mens Activewear,https://www.kmart.com.au/category/men/mens-clothing/mens-activewear/413030#.plp-wrapper,Active Mens Woven Stretch Shorts,https://www.kmart.com.au/product/active-mens-woven-stretch-shorts/3160306,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/1/70072761-1-sz.jpg,10.00,-,Not Rated,0,;,
f971fe9d-a706-4b0d-9ead-2ef2a623ccdf,Men,https://www.kmart.com.au/category/men/mens-clothing/mens-activewear/413030#.plp-wrapper,Mens Activewear,https://www.kmart.com.au/category/men/mens-clothing/mens-activewear/413030#.plp-wrapper,Active Mens Pullover,https://www.kmart.com.au/product/active-mens-pullover/3146314,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/7/70039757-1-sz.jpg,25.00,-,Not Rated,0,;,
61a4cd23-813c-4a53-9aa2-972b83b13a33,Men,https://www.kmart.com.au/category/men/mens-clothing/mens-activewear/413030#.plp-wrapper,Mens Activewear,https://www.kmart.com.au/category/men/mens-clothing/mens-activewear/413030#.plp-wrapper,Active Mens Quarter Zip Long Sleeve Training Top,https://www.kmart.com.au/product/active-mens-quarter-zip-long-sleeve-training-top/3158301,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/2/70051742-1-sz.jpg,15.00,-,Not Rated,0,;,
74feaa58-7588-4cac-8ecb-e19ae4850d4a,Men,https://www.kmart.com.au/category/men/mens-clothing/mens-activewear/413030#.plp-wrapper,Mens Activewear,https://www.kmart.com.au/category/men/mens-clothing/mens-activewear/413030#.plp-wrapper,Active Everlast Mens Crew Neck Tee,https://www.kmart.com.au/product/active-everlast-mens-crew-neck-tee/3152350,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/1/70162561-1-sz.jpg,10.00,-,Not Rated,0,;,
