98dce00c-dbb0-433d-bda0-42db95fa29ee,Sports,https://www.kmart.com.au/category/sports/shop-by-category/pools-&-water-toys/463519#.plp-wrapper,Pools & Water Toys,https://www.kmart.com.au/category/sports/shop-by-category/pools-&-water-toys/463519#.plp-wrapper,River Twister,https://www.kmart.com.au/product/river-twister/3163306,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/6/42913856-1-sz.jpg,8.00,-,Not Rated,0,Just Landed ; ,
3788d9bc-1a34-4e15-ac3a-de1cfec19849,Sports,https://www.kmart.com.au/category/sports/shop-by-category/pools-&-water-toys/463519#.plp-wrapper,Pools & Water Toys,https://www.kmart.com.au/category/sports/shop-by-category/pools-&-water-toys/463519#.plp-wrapper,Catch Ball Set - Blue,https://www.kmart.com.au/product/catch-ball-set---blue/3168805,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/2/42914662-1-sz.jpg,10.00,-,Not Rated,0,Just Landed ; ,
3ea3b24f-7d78-443e-9a75-f8d4338dc1ee,Sports,https://www.kmart.com.au/category/sports/shop-by-category/pools-&-water-toys/463519#.plp-wrapper,Pools & Water Toys,https://www.kmart.com.au/category/sports/shop-by-category/pools-&-water-toys/463519#.plp-wrapper,Beach Towel - Blue Stripe,https://www.kmart.com.au/product/beach-towel---blue-stripe/3093306,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/6/42893776-1-sz.jpg,15.00,-,Not Rated,0,Just Landed ; ,
a7549e4e-8931-4d08-8b59-c57b05dff39c,Sports,https://www.kmart.com.au/category/sports/shop-by-category/pools-&-water-toys/463519#.plp-wrapper,Pools & Water Toys,https://www.kmart.com.au/category/sports/shop-by-category/pools-&-water-toys/463519#.plp-wrapper,Hooded Beach Towel - Blue,https://www.kmart.com.au/product/hooded-beach-towel---blue/3105303,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/4/42894414-1-sz.jpg,12.00,-,Not Rated,0,Just Landed ; ,
d43f9a22-3ccb-44e0-b0c1-51afe5fe3b35,Sports,https://www.kmart.com.au/category/sports/shop-by-category/pools-&-water-toys/463519#.plp-wrapper,Pools & Water Toys,https://www.kmart.com.au/category/sports/shop-by-category/pools-&-water-toys/463519#.plp-wrapper,Hooded Beach Towel - Pink,https://www.kmart.com.au/product/hooded-beach-towel---pink/3105304,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/8/42894438-1-sz.jpg,12.00,-,Not Rated,0,Just Landed ; Coming soon,
72b91c63-faac-4372-a6e8-32ff19f7b6dc,Sports,https://www.kmart.com.au/category/sports/shop-by-category/pools-&-water-toys/463519#.plp-wrapper,Pools & Water Toys,https://www.kmart.com.au/category/sports/shop-by-category/pools-&-water-toys/463519#.plp-wrapper,Hooded Beach Towel - Charcoal,https://www.kmart.com.au/product/hooded-beach-towel---charcoal/3105305,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/6/42895756-1-sz.jpg,15.00,-,Not Rated,0,Just Landed ; Coming soon,
c5a59359-e224-4100-849e-49423ad49665,Sports,https://www.kmart.com.au/category/sports/shop-by-category/pools-&-water-toys/463519#.plp-wrapper,Pools & Water Toys,https://www.kmart.com.au/category/sports/shop-by-category/pools-&-water-toys/463519#.plp-wrapper,Beach Towel - Pink & Grey Stripes,https://www.kmart.com.au/product/beach-towel---pink--grey-stripes/3120304,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/2/42893752-1-sz.jpg,15.00,-,Not Rated,0,Just Landed ; ,
b838ca85-38e6-446e-b71b-7e9fb0d8bf1b,Sports,https://www.kmart.com.au/category/sports/shop-by-category/pools-&-water-toys/463519#.plp-wrapper,Pools & Water Toys,https://www.kmart.com.au/category/sports/shop-by-category/pools-&-water-toys/463519#.plp-wrapper,Inflatable Naughts and Crosses,https://www.kmart.com.au/product/inflatable-naughts-and-crosses/3153818,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/4/42912224-1-sz.jpg,15.00,-,Not Rated,0,Just Landed ; ,
752dc179-8353-499d-a286-88a276f81129,Sports,https://www.kmart.com.au/category/sports/shop-by-category/pools-&-water-toys/463519#.plp-wrapper,Pools & Water Toys,https://www.kmart.com.au/category/sports/shop-by-category/pools-&-water-toys/463519#.plp-wrapper,Beach Towel - Seahorse,https://www.kmart.com.au/product/beach-towel---seahorse/3123329,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/0/42894810-1-sz.jpg,5.00,-,Not Rated,0,Just Landed ; ,
22444ed3-2ff3-4448-b4e2-3e1ecf61a78f,Sports,https://www.kmart.com.au/category/sports/shop-by-category/pools-&-water-toys/463519#.plp-wrapper,Pools & Water Toys,https://www.kmart.com.au/category/sports/shop-by-category/pools-&-water-toys/463519#.plp-wrapper,Super Splashers Splash Balls - Assorted,https://www.kmart.com.au/product/super-splashers-splash-balls---assorted/3152329,https://www.kmart.com.au/wcsstore/Kmart/images/ncatalog/sz/5/42913245-1-sz.jpg,8.00						 ea,-,Not Rated,0,Just Landed ; ,
